Word,Start
bones,0.64
however,1.34
was,2.06
the,2.371
hero,2.621
of,3.191
the,3.371
scene,3.631
having,4.841
come,5.391
to,5.766
the,5.951
gathering,6.146
on,7.012
his,7.212
favourite,7.532
steed,8.307
a,10.573
creature,10.763
like,11.683
himself,12.003
full,13.363
of,13.773
metal,14.133
and,14.609
mischief,14.844
and,14.619
which,16.294
no,16.774
one,17.074
but,17.324
himself,17.574
could,18.329
manage,18.63
he,19.835
was,20.135
in,20.47
fact,20.745
noted,21.435
for,22.11
preferring,22.365
vicious,23.311
animals,23.951
given,24.726
to,25.186
all,25.486
kinds,25.866
of,26.411
tricks,26.696
which,27.717
kept,28.067
the,28.437
rider,28.677
in,29.257
constant,29.517
risk,30.252
of,30.667
his,30.797
neck,31.138
for,31.988
he,32.228
held,32.468
a,32.868
tractable,33.058
well,34.038
broken,34.478
unworthy,35.979
of,36.994
a,37.179
lad,37.319
of,37.759
spirit,38.114
would,39.935
i,40.27
pause,40.63
to,41.255
dwell,41.515
upon,42.01
the,42.52
world,42.75
of,43.27
charms,43.556
that,44.276
burst,44.611
the,45.636
enraptured,45.841
gaze,46.816
of,47.442
my,47.662
hero,48.012
as,48.622
he,48.802
entered,49.057
the,49.522
state,49.802
parlour,50.352
of,51.022
mansion,52.323
not,53.823
those,54.318
of,54.978
the,55.163
bevy,55.398
of,55.944
buxom,56.194
lasses,56.874
with,58.324
their,58.559
luxurious,58.814
display,59.779
of,60.605
red,60.845
and,61.115
white,61.355
but,62.355
the,62.665
ample,63.12
charms,63.926
of,64.836
genuine,65.416
dutch,66.361
country,67.046
tea,67.816
table,68.197
in,68.927
the,69.087
sumptuous,69.437
of,70.842
autumn,71.197
such,72.383
heaped,72.888
up,73.423
platters,73.798
cakes,74.868
of,75.523
various,75.828
and,76.624
almost,76.959
indescribable,77.724
kinds,79.359
known,80.78
only,81.37
to,81.865
experienced,82.09
dutch,83.31
housewives,83.77
there,85.281
was,85.526
the,85.791
dough,86.161
