word,start,end
Rambone,0.0,1.2
however,1.28,1.92
was,1.92,2.24
the,2.32,2.48
hero,2.64,3.2
of,3.2,3.28
the,3.36,3.44
scene,3.68,4.16
having,4.88,5.28
come,5.36,5.68
to,5.76,5.84
the,5.92,6.0
gathering,6.08,6.96
on,6.96,7.2
his,7.2,7.28
favorite,7.52,8.08
steed,8.4,8.8
Daredevil,8.96,9.6
a,10.56,10.56
creature,10.72,11.52
like,11.6,11.84
himself,12.0,12.16
full,13.36,13.68
of,13.68,13.84
mettle,13.92,14.64
and,14.64,14.8
mischief,14.8,14.96
and,16.08,16.32
which,16.32,16.4
no,16.56,16.8
one,16.96,17.28
but,17.28,17.44
himself,17.52,18.24
could,18.32,18.48
manage,18.56,18.72
He,19.84,20.0
was,20.0,20.32
in,20.48,20.64
fact,20.72,21.12
noted,21.2,21.92
for,22.16,22.24
preferring,22.4,23.28
vicious,23.28,23.68
animals,24.08,24.48
given,24.72,25.12
to,25.2,25.28
all,25.36,25.76
kinds,25.84,26.32
of,26.4,26.48
tricks,26.72,26.88
which,27.68,27.84
kept,28.08,28.24
the,28.48,28.56
rider,28.56,29.28
in,29.28,29.36
constant,29.44,30.16
risk,30.16,30.4
of,30.64,30.8
his,30.8,30.88
neck,31.04,31.2
for,32.0,32.24
he,32.24,32.4
held,32.48,32.8
attractable,33.04,33.92
wellbroken,34.0,34.96
horses,35.12,35.44
unworthy,35.52,36.88
of,36.96,37.12
a,37.12,37.12
lad,37.12,37.68
of,37.68,37.84
spirit,38.08,38.64
Vain,39.2,39.92
would,39.92,40.16
I,40.16,40.48
pause,40.64,41.12
to,41.28,41.36
dwell,41.44,42.0
upon,42.0,42.48
the,42.48,42.56
world,42.56,43.2
of,43.2,43.28
charms,43.52,44.16
that,44.32,44.4
burst,44.56,44.88
upon,45.12,45.6
the,45.6,45.76
enraptured,45.76,46.72
gaze,46.8,47.28
of,47.36,47.52
my,47.52,47.84
hero,48.0,48.48
as,48.64,48.72
he,48.8,48.96
entered,49.04,49.44
the,49.52,49.6
state,49.84,49.92
parlor,50.4,51.04
of,51.04,51.12
Aunt,51.2,51.52
Popsel's,51.6,52.16
mansion,52.24,52.64
not,53.68,54.08
those,54.24,54.8
of,54.96,55.04
the,55.12,55.2
bevy,55.68,55.84
of,55.84,56.0
buxom,56.16,56.88
lasses,56.88,57.28
with,58.32,58.48
their,58.56,58.72
luxurious,58.72,59.52
display,59.76,59.84
of,59.84,59.92
red,60.8,61.04
and,61.04,61.28
white,61.28,61.68
but,62.32,62.48
the,62.64,62.8
ample,62.96,63.68
charms,63.92,64.56
of,64.72,64.96
the,64.96,65.12
genuine,65.36,66.24
Dutch,66.32,66.56
country,67.04,67.68
tea,67.84,68.08
table,68.16,68.8
in,68.88,69.04
the,69.04,69.2
sumptuous,69.44,70.16
time,70.4,70.8
of,70.8,70.88
autumn,71.04,71.76
Such,72.4,72.56
heaped,72.88,73.12
up,73.36,73.52
platters,73.84,74.08
of,74.48,74.56
cakes,74.88,75.12
of,75.44,75.6
various,75.84,76.4
and,76.56,76.72
almost,76.88,77.44
indescribable,77.6,79.2
kinds,79.28,80.0
known,80.72,81.2
only,81.2,81.76
to,81.84,82.08
experienced,82.32,83.04
Dutch,83.28,83.52
housewives,83.76,84.64
There,85.28,85.44
was,85.44,85.68
the,85.76,85.92
doughy,86.16,86.56
