Word,Start
however,1.28
was,1.92
the,2.32
hero,2.64
of,3.2
the,3.36
scene,3.61
having,4.8
come,5.285
to,5.76
the,5.84
gathering,6.08
on,6.88
his,7.13
steed,8.32
Daredevil,8.96
a,10.56
creature,10.72
like,11.6
himself,12.005
full,13.36
of,13.765
mettle,13.92
and,14.64
mischief,14.8
and,16.08
which,16.24
no,16.56
one,16.96
but,17.28
himself,17.52
could,18.32
manage,18.49
He,19.84
was,19.925
in,20.4
fact,20.72
noted,21.2
for,22.08
preferring,22.39
vicious,23.28
animals,24.08
given,24.65
to,25.2
all,25.36
kinds,25.84
of,26.32
tricks,26.72
which,27.68
kept,28.08
the,28.4
rider,28.485
in,29.205
constant,29.44
risk,30.16
of,30.565
his,30.73
neck,31.04
For,32.0
he,32.17
held,32.405
wellbroken,33.925
horses,35.045
unworthy,35.515
of,36.96
a,37.12
lad,37.12
of,37.755
spirit,38.16
Vain,39.2
would,39.92
I,40.085
pause,40.64
to,41.28
dwell,41.44
upon,42.0
the,42.48
world,42.56
of,43.2
charms,43.52
that,44.245
burst,44.56
upon,45.045
the,45.6
enraptured,45.76
gaze,46.8
of,47.36
my,47.52
hero,47.93
as,48.56
he,48.8
entered,48.96
state,49.84
parlor,50.32
of,51.04
mansion,52.24
Not,53.68
those,54.24
of,54.885
the,55.12
bevy,55.675
of,55.84
buxom,56.16
lasses,56.8
with,58.24
their,58.49
luxurious,58.72
display,59.76
of,59.84
red,60.725
and,61.04
white,61.28
but,62.32
the,62.57
ample,62.96
charms,63.92
of,64.72
the,64.96
genuine,65.36
Dutch,66.32
country,66.965
tea,67.84
table,68.16
in,68.8
the,69.04
sumptuous,69.44
time,70.4
of,70.805
autumn,71.04
Such,72.33
platters,73.77
of,74.48
cakes,74.88
of,74.49
various,75.76
and,76.56
almost,76.8
indescribable,77.6
kinds,79.28
known,80.64
only,81.2
to,81.84
experienced,82.245
Dutch,83.28
housewives,83.45
There,85.28
was,85.37
the,85.76
