Word,Start
"Rombones,",0.01
"however,",1.44
was,2.08
the,2.32
hero,2.64
of,3.2
the,3.44
"scene,",3.76
having,4.81
come,5.365
to,5.68
the,5.92
gathering,6.165
on,6.96
his,7.2
favourite,7.37
steed,8.24
"daredevil,",8.8
a,10.48
creature,10.72
like,11.76
"himself,",12.08
full,13.2
of,13.76
metal,14.08
and,14.56
"mischief,",14.8
and,16.005
which,16.325
no,16.645
one,16.965
but,17.285
himself,17.845
could,18.485
manage.,18.95
He,19.76
"was,",20.08
in,20.56
"fact,",20.885
noted,21.36
for,22.0
preferring,22.32
vicious,23.2
animals,23.845
given,24.64
to,25.36
all,25.6
kinds,25.845
of,26.32
tricks,26.64
which,27.61
kept,27.93
the,28.4
rider,28.64
in,29.28
constant,29.52
risk,30.16
of,30.64
his,30.88
"neck,",31.12
for,31.92
he,32.16
held,32.4
well,34.005
broken,34.32
horses,35.04
unworthy,35.92
of,36.88
a,37.12
lad,37.285
of,36.885
spirit.,38.08
Fain,39.13
would,39.92
I,40.17
pause,40.41
to,41.12
dwell,41.44
upon,42.0
the,42.56
world,42.88
of,43.2
charms,43.52
that,44.24
burst,44.56
upon,45.12
the,45.52
enraptured,45.76
gaze,46.8
of,47.37
my,47.68
hero,48.0
as,48.56
he,48.8
entered,49.04
the,49.52
state,49.76
parlour,50.24
of,50.89
Von,51.05
Tassel's,51.51
"mansion,",52.56
not,53.765
those,54.405
of,54.725
the,55.04
bevy,55.28
of,54.795
buxom,56.08
lasses,56.88
with,58.165
their,58.48
luxurious,58.72
display,59.84
of,60.48
red,60.73
and,61.2
"white,",61.45
but,62.32
the,62.64
ample,62.96
charms,63.84
of,64.8
a,65.04
genuine,65.36
Dutch,66.32
country,67.12
tea,67.68
table,68.24
in,68.8
the,69.12
sumptuous,69.29
time,70.48
of,70.72
autumn.,70.96
Such,72.32
heaped,72.79
up,73.37
platters,73.69
of,74.48
cakes,74.8
of,74.485
various,75.76
and,76.64
almost,76.88
indescribable,77.76
known,80.72
only,81.36
to,81.68
experienced,82.0
Dutch,83.2
housewives.,83.68
There,85.28
was,85.44
the,85.68
doughy,85.845
