word,start,end
he,0.06,0.1
was,0.24,0.36
always,0.56,0.94
ready,1.14,1.4
for,1.64,1.781
either,1.901,2.141
a,2.281,2.301
fight,2.481,2.781
or,2.881,2.941
a,3.061,3.061
frolic,3.241,3.741
but,4.381,4.481
had,4.601,4.761
more,4.941,5.121
mischief,5.342,5.862
than,5.982,6.122
ill,6.242,6.402
will,6.562,6.782
in,6.922,6.962
his,7.042,7.162
composition,7.322,8.222
and,9.123,9.223
with,9.323,9.443
all,9.583,9.743
his,9.823,9.943
overbearing,10.103,10.823
roughness,11.023,11.583
there,12.143,12.284
was,12.364,12.444
a,12.564,12.564
strong,12.784,13.264
dash,13.524,13.964
of,14.144,14.204
waggish,14.444,14.904
good,15.084,15.264
humour,15.384,15.725
at,15.845,15.905
bottom,16.065,16.465
he,17.325,17.385
had,17.525,17.665
three,17.845,18.125
or,18.245,18.285
four,18.445,18.705
boon,18.985,19.286
companions,19.526,20.466
who,21.066,21.146
regarded,21.286,21.866
him,22.006,22.146
as,22.266,22.326
their,22.446,22.607
model,22.747,23.127
and,23.907,24.007
at,24.107,24.147
the,24.247,24.327
head,24.467,24.647
of,24.767,24.807
whom,24.947,25.187
he,25.307,25.347
scoured,25.647,26.228
the,26.328,26.388
country,26.528,27.008
attending,27.728,28.248
every,28.408,28.628
scene,28.888,29.228
of,29.348,29.388
feud,29.589,30.029
or,30.149,30.229
merriment,30.409,30.989
for,31.149,31.269
miles,31.469,31.989
around,32.129,32.749
in,33.57,33.65
cold,33.83,34.17
weather,34.31,34.63
he,34.79,34.83
was,34.97,35.07
distinguished,35.19,35.85
by,35.97,36.05
a,36.23,36.23
fur,36.45,36.671
cap,36.891,37.231
surmountet,37.871,38.551
with,38.691,38.811
a,38.931,38.931
flaunting,39.151,39.671
fox's,39.851,40.392
tail,40.572,40.872
and,41.692,41.792
when,41.892,41.992
the,42.092,42.152
folks,42.272,42.652
at,42.772,42.832
a,42.932,42.932
country,43.052,43.412
gathering,43.613,44.153
descried,44.313,45.053
this,45.153,45.293
wwell,45.493,45.753
known,45.873,46.153
crest,46.353,46.673
at,46.813,46.873
a,46.994,46.994
distance,47.114,47.674
whisking,48.394,48.914
about,49.034,49.334
among,49.434,49.694
a,49.794,49.794
squad,50.034,50.414
of,50.535,50.575
hard,50.735,51.055
riders,51.215,51.755
they,52.455,52.555
always,52.715,53.055
stood,53.175,53.395
by,53.535,53.655
for,53.936,54.056
a,54.176,54.176
squall,54.396,54.896
sometimes,55.716,56.336
his,56.436,56.556
crew,56.736,56.936
would,57.096,57.236
be,57.336,57.377
heard,57.537,57.797
dashing,58.017,58.597
along,58.717,59.097
past,59.257,59.557
the,59.677,59.757
farmhouses,59.917,60.777
at,60.918,60.978
midnight,61.138,61.678
with,61.798,61.918
a,62.038,62.038
whoop,62.258,62.518
and,62.658,62.758
a,62.838,62.838
hollow,62.938,63.338
like,64.118,64.278
a,64.359,64.359
troop,64.519,64.739
of,64.859,64.919
don,65.059,65.339
cossacks,65.559,66.359
and,67.039,67.119
the,67.199,67.259
old,67.419,67.639
dame,67.82,68.22
startled,68.6,69.12
out,69.24,69.34
of,69.42,69.46
their,69.54,69.7
sleep,69.9,70.22
would,70.9,71.04
listen,71.16,71.501
for,71.761,71.901
a,72.021,72.021
moment,72.141,72.521
till,72.641,72.781
the,72.861,72.921
hurry,73.041,73.321
scurry,73.541,73.901
ad,74.041,74.081
clattered,74.261,74.681
by,74.802,74.922
and,75.202,75.302
then,75.342,75.462
exclaimed,75.582,76.382
hey,77.142,77.362
there,77.742,77.962
goes,78.122,78.423
brom,78.703,79.083
bones,79.343,79.783
and,79.883,79.963
his,80.043,80.163
gang,80.343,80.783
the,81.744,81.804
neighbours,81.964,82.404
looked,82.564,82.804
upon,82.904,83.224
him,83.344,83.444
