word,start,end
he,0.08,0.12
was,0.26,0.38
always,0.58,0.96
ready,1.16,1.44
for,1.66,1.801
either,1.921,2.161
a,2.301,2.321
fight,2.501,2.801
or,2.901,2.981
a,3.081,3.081
frolic,3.261,3.761
but,4.401,4.521
had,4.621,4.781
more,4.961,5.141
mischief,5.362,5.882
than,6.002,6.142
ill,6.262,6.422
will,6.582,6.802
in,6.942,6.982
his,7.062,7.182
composition,7.342,8.242
and,9.143,9.243
with,9.343,9.463
all,9.603,9.763
his,9.843,9.963
overbearing,10.123,10.843
roughness,11.043,11.603
there,12.163,12.304
was,12.384,12.464
a,12.584,12.584
strong,12.804,13.284
dash,13.564,13.984
of,14.164,14.224
waggish,14.464,14.924
good,15.104,15.284
humour,15.404,15.745
at,15.865,15.925
bottom,16.085,16.485
he,17.345,17.405
had,17.545,17.685
three,17.865,18.145
or,18.265,18.305
four,18.465,18.725
boon,19.005,19.306
companions,19.546,20.486
who,21.086,21.166
regarded,21.306,21.886
him,22.026,22.186
as,22.286,22.346
their,22.466,22.627
model,22.787,23.147
and,23.927,24.027
at,24.107,24.167
the,24.267,24.347
head,24.487,24.667
of,24.787,24.827
whom,24.967,25.207
he,25.327,25.367
scoured,25.667,26.248
the,26.348,26.408
country,26.548,27.028
attending,27.768,28.268
every,28.428,28.648
scene,28.888,29.248
of,29.368,29.428
feud,29.609,30.049
or,30.169,30.249
merriment,30.429,31.009
for,31.169,31.289
miles,31.489,32.009
around,32.149,32.769
in,33.59,33.67
cold,33.85,34.19
weather,34.33,34.65
he,34.81,34.85
was,34.99,35.09
distinguished,35.21,35.87
by,35.99,36.07
a,36.25,36.25
fur,36.47,36.691
cap,36.911,37.251
surmountit,37.891,38.571
with,38.711,38.831
a,38.951,38.951
flaunting,39.171,39.691
fox's,39.871,40.412
tail,40.592,40.892
and,41.712,41.812
when,41.912,42.012
the,42.112,42.172
folks,42.292,42.672
at,42.792,42.852
a,42.952,42.952
country,43.072,43.432
gathering,43.633,44.193
descried,44.333,45.073
this,45.173,45.313
well,45.513,45.773
known,45.893,46.173
crest,46.373,46.693
at,46.833,46.893
a,47.014,47.014
distance,47.154,47.694
whisking,48.414,48.934
about,49.054,49.354
among,49.454,49.714
a,49.814,49.814
squad,50.074,50.435
of,50.555,50.615
hard,50.755,51.075
riders,51.235,51.775
they,52.475,52.575
always,52.735,53.075
stood,53.195,53.435
by,53.555,53.675
for,53.956,54.076
a,54.196,54.196
squall,54.416,54.916
sometimes,55.736,56.356
his,56.456,56.576
crew,56.776,56.956
would,57.116,57.256
be,57.356,57.397
heard,57.557,57.817
dashing,58.037,58.617
along,58.737,59.117
past,59.277,59.577
the,59.717,59.777
farmhouses,59.937,60.797
at,60.938,60.998
midnight,61.158,61.698
with,61.818,61.938
a,62.058,62.058
whoop,62.278,62.538
and,62.678,62.778
a,62.858,62.858
hollow,62.958,63.358
like,64.138,64.298
a,64.399,64.399
troop,64.539,64.759
of,64.879,64.939
don,65.079,65.359
cossacks,65.579,66.379
and,67.059,67.139
the,67.219,67.279
old,67.439,67.659
dame,67.84,68.26
startled,68.62,69.14
out,69.26,69.36
of,69.44,69.48
their,69.56,69.72
sleep,69.92,70.24
would,70.92,71.06
listen,71.18,71.521
for,71.781,71.921
a,72.041,72.041
moment,72.161,72.541
till,72.661,72.801
the,72.881,72.941
hurry,73.081,73.341
scurry,73.561,73.921
had,74.041,74.121
clattered,74.281,74.701
by,74.822,74.942
and,75.222,75.322
then,75.362,75.482
exclaimed,75.602,76.402
hey,77.162,77.382
there,77.762,77.982
goes,78.142,78.443
brom,78.723,79.123
bones,79.363,79.803
and,79.903,79.983
his,80.063,80.183
gang,80.363,80.803
the,81.764,81.824
neighbours,81.984,82.424
looked,82.584,82.824
upon,82.924,83.244
him,83.364,83.464
