word,start,end
he,0.08,0.12
was,0.26,0.36
always,0.56,0.94
ready,1.14,1.42
for,1.66,1.761
either,1.901,2.161
a,2.301,2.301
fight,2.481,2.781
or,2.881,2.961
a,3.061,3.081
frolic,3.261,3.761
but,4.381,4.501
had,4.601,4.781
more,4.961,5.121
mischief,5.342,5.862
than,5.982,6.102
ill,6.242,6.402
will,6.562,6.802
in,6.922,6.962
his,7.062,7.162
composition,7.322,8.222
and,9.123,9.243
with,9.323,9.443
all,9.603,9.743
his,9.843,9.943
overbearing,10.103,10.843
roughness,11.023,11.603
there,12.143,12.284
was,12.364,12.444
a,12.584,12.584
strong,12.784,13.264
dash,13.544,13.964
of,14.164,14.204
waggish,14.444,14.924
good,15.084,15.264
humour,15.384,15.745
at,15.845,15.905
bottom,16.065,16.485
he,17.325,17.385
had,17.545,17.685
three,17.865,18.125
or,18.265,18.305
four,18.465,18.725
boon,19.005,19.286
companions,19.526,20.466
who,21.086,21.146
regarded,21.286,21.886
him,22.006,22.166
as,22.266,22.326
their,22.446,22.607
model,22.767,23.147
and,23.907,24.007
at,24.107,24.167
the,24.267,24.327
head,24.467,24.667
of,24.767,24.807
whom,24.947,25.187
he,25.307,25.367
scoured,25.647,26.228
the,26.348,26.388
country,26.528,27.008
attending,27.748,28.248
every,28.408,28.648
scene,28.888,29.228
of,29.348,29.408
feud,29.589,30.029
or,30.149,30.229
merriment,30.409,30.989
for,31.169,31.289
miles,31.469,31.989
around,32.149,32.749
in,33.57,33.65
cold,33.83,34.17
weather,34.33,34.65
he,34.79,34.83
was,34.97,35.07
distinguished,35.19,35.85
by,35.97,36.07
a,36.23,36.23
fur,36.45,36.671
cap,36.911,37.231
surmount,37.891,38.371
it,38.471,38.551
with,38.691,38.811
a,38.951,38.951
flaunting,39.151,39.671
fox's,39.851,40.392
tail,40.572,40.892
and,41.712,41.792
when,41.892,41.992
the,42.112,42.172
folks,42.292,42.652
at,42.772,42.832
a,42.932,42.932
country,43.052,43.432
gathering,43.613,44.153
descried,44.313,45.053
this,45.153,45.313
well,45.513,45.753
known,45.873,46.153
crest,46.353,46.673
at,46.833,46.873
a,46.994,46.994
distance,47.134,47.694
whisking,48.394,48.894
about,49.034,49.334
among,49.434,49.694
a,49.794,49.814
squad,50.054,50.435
of,50.535,50.595
hard,50.755,51.075
riders,51.235,51.755
they,52.455,52.575
always,52.735,53.055
stood,53.175,53.415
by,53.535,53.655
for,53.956,54.056
a,54.176,54.196
squall,54.396,54.896
sometimes,55.736,56.336
his,56.456,56.576
crew,56.756,56.956
would,57.096,57.256
be,57.336,57.397
heard,57.557,57.797
dashing,58.017,58.597
along,58.717,59.097
past,59.277,59.557
the,59.697,59.757
farmhouses,59.917,60.797
at,60.918,60.978
midnight,61.158,61.678
with,61.798,61.918
a,62.038,62.038
whoop,62.258,62.518
and,62.678,62.758
a,62.838,62.858
holow,62.938,63.338
like,64.118,64.278
a,64.379,64.379
troop,64.519,64.759
of,64.879,64.919
don,65.079,65.359
cossacks,65.559,66.359
and,67.039,67.139
the,67.219,67.279
old,67.419,67.639
dame,67.82,68.24
startled,68.62,69.14
out,69.24,69.34
of,69.44,69.48
their,69.56,69.72
sleep,69.9,70.24
would,70.9,71.06
listen,71.16,71.521
for,71.781,71.901
a,72.021,72.021
moment,72.161,72.521
till,72.641,72.781
the,72.861,72.941
hurry,73.061,73.321
scurry,73.561,73.901
it,74.061,74.101
clattered,74.261,74.681
by,74.822,74.942
and,75.202,75.302
then,75.362,75.482
exclaimed,75.582,76.382
hey,77.142,77.362
there,77.762,77.962
goes,78.142,78.443
brom,78.723,79.103
bones,79.343,79.783
and,79.883,79.983
his,80.063,80.163
gang,80.363,80.783
the,81.744,81.804
neighbors,81.964,82.424
looked,82.564,82.804
upon,82.904,83.244
him,83.344,83.464
